release,tag_name,commit_id,date,days_since_last_release,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
6565896,v1.8.0-rc2,7d8dde77df266b60401b515fbb6422defc995310,2017-06-01 04:02:48,10,32,151,5,9,1,72,5,60,1,120,337,20,13
6704413,v1.8.0-rc3,44b9743c6cdd56a119d22890ad44fd3a55fb7b96,2017-06-08 05:48:13,7,24,108,4,8,2,46,6,34,4,107,313,6,5
6704420,v1.8.0-rc4,2f39cea3430d82dc714565b05ca4e49c80564347,2017-06-14 05:42:42,5,21,74,1,8,0,47,9,45,0,117,384,6,11
6733191,zephyr-v1.8.0,fcb9144dca68f98d24caf39532595555355c3c1d,2017-06-16 01:20:52,1,19,48,3,11,1,20,3,16,1,40,46,2,2
7435081,v1.9.0-rc1,c7634a94863a1add8ed1db6f80e34860631cd894,2017-08-18 07:27:05,63,74,1194,19,20,3,599,52,520,9,799,1603,91,55
7528647,v1.9.0-rc2,3fb710b3cab51aebdc95129abc87995c6f10a440,2017-08-25 17:19:09,7,30,115,0,9,0,61,7,51,1,89,150,18,10
7629542,v1.9.0-rc3,dca4b979186850f5599d1a9cc024408ae47a885e,2017-09-04 20:07:48,10,36,155,9,10,3,70,4,46,2,144,427,12,8
7675737,v1.9.0-rc4,29a3ccecd5a314921e1b79d8031b1c1c2ccb4f12,2017-09-07 23:59:58,3,31,79,3,8,1,38,1,26,1,51,111,2,4
7677236,zephyr-v1.9.0,6597e86ed57d24975a655f5d0333a80dd770e958,2017-09-08 02:49:58,0,2,2,0,1,0,2,0,1,0,1,0,0,0
8104540,zephyr-v1.9.1,ab35052b89e0bf57b786ed9a3d8281e2210285af,2017-10-12 06:31:45,34,53,530,11,14,3,293,25,259,6,451,1060,50,27
8577087,zephyr-v1.9.2,a7dcd9d827b46c9ac722678522b398ecfd64fe87,2017-11-19 17:51:40,38,72,924,19,24,8,497,65,449,4,760,1917,77,51
8581170,v1.10.0-rc1,cb9390c791f25a6787e07de085375eab96d29e5c,2017-11-20 09:03:58,0,1,9,0,1,0,2,0,0,0,4,5,2,0
8691191,v1.10.0-rc2,faf9599b30681197537a30b4513817bc1bad01e6,2017-11-29 02:20:23,8,36,205,5,18,1,83,14,67,1,134,281,21,11
8834608,zephyr-v1.10.0,7e317dbc4bb9160d2475a91359fa8ffdb2e0e41f,2017-12-05 21:17:00,6,33,136,2,14,1,73,4,38,0,66,152,12,8
8786340,v1.10.0-rc3,2c525b1ee6b653909a11e61b26a77f6f44146287,2017-12-05 23:20:36,0,2,6,0,2,0,2,0,5,0,6,7,0,0
9930936,v1.11.0-rc2,d397109e9d34d73b5eebb17ebae56a56edfa9f8b,2018-02-10 19:44:36,66,85,1089,27,32,9,561,60,493,16,775,2530,120,66
9791401,v1.11.0-rc1,4f9864b15b263dcf7d6e204ac79f3d96a8a30e64,2018-02-21 23:27:01,11,44,217,1,15,1,132,11,119,5,212,781,26,8
10003435,v1.11.0-rc3,0528b2b123539db8bb56550a80870015ec76584f,2018-03-08 22:36:39,14,58,353,10,22,3,145,12,105,6,177,593,23,27
10024598,zephyr-v1.11.0,00ba8c339afd89d09e732d1679b8a38f481cdb7a,2018-03-10 00:53:21,1,16,19,2,6,0,14,0,3,0,5,16,3,1
11081455,v1.12.0-rc1,e7509c17c5938b48f9ad4b7ae78199bb0faa6113,2018-05-19 01:05:47,70,111,1287,38,44,18,751,101,649,27,1049,4169,152,89
11230360,v1.12.0-rc2,d93ecda4c590d674e1cccdc65fb3501ae80a2055,2018-05-30 00:20:36,10,52,374,5,17,0,228,37,176,3,314,843,28,15
11404336,v1.12.0-rc3,bf1e0198a78b7e1a51306a1fe24c73c3cdc5ab9a,2018-06-07 22:12:49,8,55,224,10,19,2,160,25,92,3,228,698,12,9
11425068,zephyr-v1.12.0,f58d9caba242e52a4e0150dd1be0c99e239a9d42,2018-06-11 18:50:04,3,21,54,2,14,0,29,7,13,1,37,152,4,1
12530959,v1.13.0-rc1,00bb71361d0a64c30f2a3ef7860d61a94a8707b6,2018-08-22 22:38:13,72,134,1537,40,48,15,895,93,807,35,1196,4821,217,108
12662458,v1.13.0-rc2,8f7990de98ae57859e2da53e3d584880e2e45c95,2018-08-30 18:49:16,7,45,141,6,15,0,93,12,86,5,173,611,24,10
12776723,v1.13.0-rc3,8250b3e544131392bff2c794b85b7b93d9388587,2018-09-07 06:54:30,7,40,128,3,14,1,79,6,54,3,107,335,26,9
12828287,zephyr-v1.13.0,d62e861a01a2f4455ae89d105aa9dbc4bef501c5,2018-09-11 02:52:04,3,19,40,0,8,0,29,4,15,7,32,112,20,3
15488922,v1.14.0-rc1,588d7b068c9166f043ccb0f9bf50bf39d0173cee,2019-02-11 21:21:59,153,226,4461,106,78,36,2378,296,2089,109,3257,14710,491,252
16146557,v1.14.0-rc2,350f6f715632747ccd087d80ffb5bb586428d1de,2019-03-15 19:50:04,31,118,1367,24,38,9,833,61,704,40,1345,4501,136,60
16424102,v1.14.0-rc3,9e81cbea7df8efad52cc23e0bbdbdde5db997e56,2019-03-29 01:50:07,13,76,405,7,25,1,260,36,200,16,371,1537,44,12
16806070,zephyr-v1.14.0,cebe11544ebeaed9a0c9ffd722c1639fa7463cbe,2019-04-16 19:37:52,18,83,405,12,32,7,279,31,159,25,377,1283,74,49
18441383,v1.14.1-rc1,03a52401c6826511fc6fb9a9aecbefc72f092982,2019-07-05 19:22:16,79,167,2030,51,62,17,1186,179,1079,70,1901,6054,298,159
19217785,v2.0.0-rc1,4524035bc8d5e8eb892bccc1ce9547b09e9c7f52,2019-08-10 16:13:29,35,109,855,16,42,4,527,84,461,32,733,2755,117,56
19434765,v1.14.1-rc2,5ad3f4a6930d13344a69e16ba22faaf7ae238cfd,2019-08-21 03:22:47,10,57,272,6,20,1,167,16,101,8,326,1008,37,20
19616223,v2.0.0-rc2,aa066d413945a4bfcb9b36963a859e6bc7de4536,2019-08-28 22:41:15,7,48,216,6,17,1,126,11,86,12,248,683,24,10
19739015,v2.0.0-rc3,929d9d5e1ac1879dd5ff788f27011a90545cdc6f,2019-09-03 20:44:38,5,38,115,2,13,0,84,13,41,4,100,342,20,12
19823337,zephyr-v2.0.0,7c0ec4358a205f83d2c6cc91d6dfc0a3106989a4,2019-09-06 17:14:55,2,35,107,4,15,4,64,8,14,7,49,163,9,10
20281986,v1.14.1-rc3,ea2439e70c46e76e595b573d3c2744c3e6922301,2019-09-26 15:18:16,19,90,519,16,33,4,296,77,374,23,587,1958,58,30
20501528,zephyr-v1.14.1,9591025942af9d8334901cc281d2b41a1747836d,2019-10-06 18:50:13,10,68,284,10,26,5,161,20,147,17,217,825,20,14
21352742,v2.1.0-rc1,0443c6d7ac412242e904c4c66e5662aa325d3e93,2019-11-11 01:13:34,35,128,1000,20,45,5,629,83,506,55,794,3111,119,71
21817769,v2.1.0-rc2,64dbc3e610d79db74f3ff1395fc9b1bf891f73c2,2019-11-28 04:12:45,17,92,505,16,33,4,305,29,196,34,420,1484,73,39
22062078,zephyr-v2.1.0,b413223a66ed9e857c67ee21d1e8be4768804dd1,2019-12-03 22:00:50,5,41,124,2,18,0,60,4,24,4,60,159,41,15
21950314,v2.1.0-rc3,240d519de369f83529fcadc21f07af69e9f703fd,2019-12-04 04:00:58,0,12,22,0,8,0,8,1,10,1,27,164,0,0
23506004,v2.2.0-rc1,e089906b339aad4cd1b6589a3b6ce94782d93f54,2020-02-08 17:14:06,66,171,1700,48,66,16,995,222,918,119,1572,6152,205,125
23978813,v2.2.0-rc2,03514c13b4d9be0f0b0e6a42e04d01c414bc9542,2020-02-25 20:36:05,17,91,497,10,35,4,276,35,155,45,402,1567,56,34
24101909,v2.2.0-rc3,5372e78827ac8fa8dda74f6fb1b6a15393a97da4,2020-02-29 22:41:31,4,44,122,6,19,3,75,12,41,12,73,206,19,10
24378499,zephyr-v2.2.0,9518bd19b7a736bd649fa2fc8d8d52967c0b486f,2020-03-10 11:54:44,9,57,231,7,25,2,126,14,51,9,87,332,22,17
25662881,v1.14.2,035ab2bb72f627422a055380b609d9b1cb5eeaa5,2020-04-18 20:14:50,39,143,1435,44,60,14,790,112,732,80,1178,4114,118,94
26357030,v2.3.0-rc1,55882ac3ec8376d3b331a849e479a07d7614884f,2020-05-10 19:54:36,21,114,911,16,46,5,532,67,528,63,767,3095,69,46
27024012,zephyr-v2.2.1,2bd062c258288456631be6d366b192dd2b557999,2020-05-29 11:55:29,18,101,550,15,41,1,371,31,191,81,414,1702,83,49
27198746,v2.3.0-rc2,98d8a90f53bd9a6a8bc29a373772242b521ebe95,2020-06-04 00:42:59,5,53,148,5,23,1,97,9,43,20,91,329,20,14
27277989,zephyr-v2.3.0,b8c78e254ff875680e99c9f131fbe285c4575927,2020-06-05 22:47:40,1,25,54,1,14,0,38,3,13,9,31,97,14,4
